rank;time_s;freq_from_hz;freq_to_hz;energy
273;4.600;300;350;2.48281373e+02
274;4.500;700;750;2.47559068e+02
275;13.100;1050;1100;2.45620657e+02
276;9.100;150;200;2.44315128e+02
277;14.600;500;550;2.41068768e+02
278;15.700;100;150;2.40688386e+02
279;4.800;250;300;2.40047394e+02
280;14.000;150;200;2.37710154e+02
281;13.700;300;350;2.35793988e+02
282;13.200;400;450;2.32553240e+02
283;12.600;300;350;2.30571122e+02
284;12.400;250;300;2.29583630e+02
285;14.400;650;700;2.25616112e+02
286;12.800;400;450;2.22949238e+02
287;4.500;350;400;2.22536378e+02
288;12.600;250;300;2.21700620e+02
289;15.600;400;450;2.21429579e+02
290;14.100;350;400;2.21379790e+02
291;15.200;400;450;2.18067515e+02
292;1.000;50;100;2.18064673e+02
293;8.700;100;150;2.15863639e+02
294;5.800;350;400;2.12085636e+02
295;0.300;400;450;2.09643726e+02
296;13.200;100;150;2.09404243e+02
297;4.600;650;700;2.08218328e+02
298;0.400;400;450;2.05152409e+02
299;12.000;150;200;2.04655990e+02
300;12.700;250;300;2.04588148e+02
301;8.600;50;100;2.03323058e+02
302;8.600;100;150;2.02253288e+02
303;15.300;150;200;2.01796420e+02
304;9.000;500;550;2.00615963e+02
305;8.100;0;50;1.99976195e+02
306;13.100;200;250;1.99539855e+02
307;4.600;700;750;1.98689615e+02
308;0.600;250;300;1.98614446e+02
309;4.500;500;550;1.96230693e+02
310;15.100;300;350;1.94913690e+02
311;12.200;250;300;1.90884253e+02
312;0.900;400;450;1.90777771e+02
313;15.200;50;100;1.89983927e+02
314;13.300;150;200;1.88228565e+02
315;9.100;200;250;1.87719319e+02
316;4.700;650;700;1.86114719e+02
317;9.000;50;100;1.84115137e+02
318;8.300;350;400;1.82690785e+02
319;5.000;150;200;1.82547560e+02
320;5.600;400;450;1.82541848e+02
321;12.100;400;450;1.82006403e+02
322;14.600;350;400;1.81189883e+02
323;8.700;200;250;1.80698410e+02
324;8.700;300;350;1.79566421e+02
325;9.100;100;150;1.78590560e+02
326;4.000;1050;1100;1.77842905e+02
327;14.500;700;750;1.77842187e+02
328;9.200;1000;1050;1.77830489e+02
329;13.300;400;450;1.77789007e+02
330;15.700;400;450;1.77423005e+02
331;8.700;50;100;1.77100089e+02
332;9.700;300;350;1.77052164e+02
333;9.200;150;200;1.77037776e+02
334;14.000;350;400;1.74749006e+02
335;7.900;100;150;1.74693794e+02
336;15.800;100;150;1.74655642e+02
337;9.100;500;550;1.73663893e+02
338;13.200;1050;1100;1.73050389e+02
339;8.800;50;100;1.72149110e+02
340;5.300;300;350;1.71366810e+02
341;9.600;250;300;1.71139847e+02
342;13.100;1000;1050;1.71017409e+02
343;13.000;50;100;1.71007693e+02
344;1.000;100;150;1.70867502e+02
345;8.400;350;400;1.70722116e+02
346;4.700;700;750;1.70371893e+02
347;12.000;300;350;1.69515212e+02
348;13.100;500;550;1.69515021e+02
349;14.200;500;550;1.69091024e+02
350;12.500;650;700;1.68915895e+02
351;9.500;250;300;1.68731182e+02
352;9.300;1050;1100;1.68153174e+02
353;4.900;250;300;1.68028775e+02
354;8.800;100;150;1.67898052e+02
355;1.200;400;450;1.64284683e+02
356;13.100;50;100;1.63711590e+02
357;4.100;1050;1100;1.63662549e+02
358;15.200;300;350;1.63511823e+02
359;13.000;1050;1100;1.60420039e+02
360;14.000;500;550;1.58407164e+02
361;9.200;100;150;1.58356403e+02
362;14.700;200;250;1.58221799e+02
363;14.300;250;300;1.57423444e+02
364;12.700;200;250;1.54778907e+02
365;12.600;500;550;1.54608377e+02
366;8.000;400;450;1.54093863e+02
367;14.500;650;700;1.53561025e+02
368;12.500;700;750;1.53179175e+02
369;4.600;350;400;1.52908241e+02
370;8.900;200;250;1.52742935e+02
371;5.100;1950;2000;1.52652875e+02
372;5.900;350;400;1.52113999e+02
373;8.500;350;400;1.50891145e+02
374;1.400;350;400;1.50378149e+02
375;15.100;250;300;1.50281753e+02
376;13.800;300;350;1.49773299e+02
377;13.300;100;150;1.49249041e+02
378;8.800;250;300;1.49032940e+02
379;13.500;250;300;1.47918386e+02
380;15.400;150;200;1.47615157e+02
381;12.700;400;450;1.44280563e+02
382;14.500;500;550;1.44066050e+02
383;13.200;500;550;1.42759741e+02
384;9.000;400;450;1.42603679e+02
385;4.900;150;200;1.41984181e+02
386;12.100;150;200;1.41948870e+02
387;4.800;650;700;1.41017307e+02
388;0.500;400;450;1.40737487e+02
389;12.600;50;100;1.38883118e+02
390;14.700;350;400;1.38687933e+02
391;8.700;250;300;1.38107994e+02
392;4.100;100;150;1.36758058e+02
393;14.900;500;550;1.36179344e+02
394;13.400;150;200;1.35874208e+02
395;8.600;250;300;1.35490090e+02
396;14.000;200;250;1.35138870e+02
397;5.000;750;800;1.34403066e+02
398;14.800;200;250;1.33778854e+02
399;8.000;200;250;1.33140583e+02
400;15.300;300;350;1.32758348e+02
401;12.600;350;400;1.32094992e+02
402;15.900;100;150;1.31477285e+02
403;15.300;50;100;1.31024589e+02
404;5.100;1150;1200;1.30691507e+02
405;8.000;450;500;1.30350768e+02
406;9.300;150;200;1.30304580e+02
407;5.100;100;150;1.27512700e+02
408;12.900;250;300;1.26759827e+02
409;8.400;300;350;1.26482635e+02
410;15.800;400;450;1.26155700e+02
411;12.800;250;300;1.26110325e+02
412;9.100;400;450;1.25736801e+02
413;8.900;400;450;1.25356619e+02
414;12.500;350;400;1.25064689e+02
415;4.700;350;400;1.24532718e+02
416;9.300;400;450;1.23921433e+02
417;5.200;750;800;1.23548454e+02
418;8.900;50;100;1.23144244e+02
419;9.300;100;150;1.23039645e+02
420;9.800;300;350;1.22876683e+02
421;12.700;500;550;1.22494986e+02
422;15.100;400;450;1.22161087e+02
423;4.800;700;750;1.21763970e+02
424;9.200;400;450;1.21493216e+02
425;14.600;700;750;1.20689563e+02
426;13.000;1000;1050;1.19688792e+02
427;13.200;1000;1050;1.19319628e+02
428;13.400;400;450;1.18911353e+02
429;14.500;200;250;1.18577549e+02
430;8.100;300;350;1.18116956e+02
431;9.400;400;450;1.17860270e+02
432;5.700;400;450;1.17341575e+02
433;13.300;1050;1100;1.17078070e+02
434;8.200;450;500;1.16987761e+02
435;8.700;350;400;1.16180399e+02
436;0.200;150;200;1.15735927e+02
437;8.100;450;500;1.14447848e+02
438;9.300;1000;1050;1.14264398e+02
439;8.000;0;50;1.14208582e+02
440;9.400;1050;1100;1.13922836e+02
441;1.300;400;450;1.13279991e+02
442;13.300;500;550;1.13213198e+02
443;5.000;250;300;1.12947348e+02
444;5.400;1550;1600;1.11976035e+02
445;0.800;300;350;1.11854777e+02
446;5.000;450;500;1.11304748e+02
447;5.400;300;350;1.11280305e+02
448;12.700;300;350;1.10160946e+02
449;8.500;300;350;1.09965914e+02
450;9.400;150;200;1.09810902e+02
451;14.800;350;400;1.08841889e+02
452;9.500;400;450;1.08616117e+02
453;15.400;50;100;1.08083212e+02
454;9.400;100;150;1.07885201e+02
455;0.700;250;300;1.07521934e+02
456;8.200;350;400;1.07399745e+02
457;9.000;750;800;1.06829461e+02
458;0.200;400;450;1.06781767e+02
459;0.900;300;350;1.06594813e+02
460;12.900;300;350;1.06507166e+02
461;14.600;650;700;1.05798782e+02
462;9.900;300;350;1.04316959e+02
463;14.700;500;550;1.03375431e+02
464;9.200;500;550;1.03225038e+02
465;12.700;650;700;1.02066174e+02
466;13.400;100;150;1.01095192e+02
467;6.000;350;400;1.01017757e+02
468;5.100;150;200;1.00768349e+02
469;14.700;700;750;1.00671629e+02
470;0.600;400;450;9.98426270e+01
471;12.500;500;550;9.96175085e+01
472;9.500;100;150;9.93535682e+01
473;4.000;1000;1050;9.88277685e+01
474;8.200;300;350;9.80981593e+01
475;9.600;400;450;9.71920910e+01
476;15.500;150;200;9.70184934e+01
477;1.500;350;400;9.64996412e+01
478;7.900;250;300;9.63499755e+01
479;12.100;0;50;9.61042834e+01
480;12.000;400;450;9.47734060e+01
481;9.200;200;250;9.47462005e+01
482;4.500;200;250;9.43651053e+01
483;13.900;300;350;9.40445220e+01
484;4.200;1050;1100;9.39527726e+01
485;8.000;350;400;9.37091776e+01
486;15.200;250;300;9.35519109e+01
487;13.200;200;250;9.29958168e+01
488;4.800;350;400;9.26555982e+01
489;12.600;650;700;9.19792422e+01
490;14.400;250;300;9.18185789e+01
491;8.600;350;400;9.13491984e+01
492;4.900;650;700;9.13095434e+01
493;12.600;700;750;9.08780648e+01
494;12.800;300;350;9.02923759e+01
495;8.500;250;300;8.97176688e+01
496;4.100;1000;1050;8.94905390e+01
497;4.600;500;550;8.93683366e+01
498;15.400;300;350;8.91243343e+01
499;5.000;1600;1650;8.91084363e+01
500;9.700;250;300;8.81599511e+01
501;15.000;500;550;8.81310691e+01
502;9.600;100;150;8.79669097e+01
503;12.200;300;350;8.79131676e+01
504;13.600;250;300;8.77175257e+01
505;8.800;300;350;8.75953471e+01
506;8.600;500;550;8.72818986e+01
507;13.000;600;650;8.67402401e+01
508;5.800;400;450;8.62092155e+01
509;0.900;350;400;8.60015560e+01
510;4.900;700;750;8.59373900e+01
511;15.500;50;100;8.57345744e+01
512;13.500;150;200;8.52974712e+01
513;0.200;200;250;8.45933144e+01
514;8.500;650;700;8.40572446e+01
515;14.000;700;750;8.38953045e+01
516;9.800;250;300;8.37350778e+01
517;14.100;700;750;8.35510918e+01
518;9.500;150;200;8.35054304e+01
519;4.100;850;900;8.34612935e+01
520;9.700;100;150;8.32273605e+01
521;10.000;300;350;8.30090697e+01
522;5.500;300;350;8.26956960e+01
523;8.200;0;50;8.19507491e+01
524;0.400;250;300;8.18415236e+01
525;13.000;1200;1250;8.18003541e+01
526;9.700;400;450;8.16087280e+01
527;13.100;600;650;8.15610363e+01
528;14.500;250;300;8.07509120e+01
529;12.700;50;100;8.07140578e+01
530;13.300;1000;1050;8.06075460e+01
531;15.600;50;100;8.05921495e+01
532;4.400;400;450;8.00844043e+01
533;12.000;200;250;7.99261226e+01
534;1.000;1550;1600;7.95799301e+01
535;13.000;500;550;7.91799737e+01
536;9.400;1000;1050;7.87160809e+01
537;14.900;350;400;7.81737737e+01
538;8.500;500;550;7.81316545e+01
539;8.300;450;500;7.79782887e+01
540;12.700;700;750;7.79408951e+01
541;8.600;650;700;7.78249596e+01
542;5.600;300;350;7.76639570e+01
543;9.600;150;200;7.72949846e+01
544;8.600;300;350;7.72312879e+01
545;9.300;500;550;7.70266074e+01
546;14.300;850;900;7.69235313e+01
547;15.900;400;450;7.67956255e+01
548;14.200;700;750;7.65651938e+01
549;8.500;700;750;7.55848151e+01
550;12.800;500;550;7.54337485e+01
551;7.900;50;100;7.51819945e+01
552;4.000;450;500;7.50721303e+01
553;14.700;650;700;7.49866450e+01
554;15.300;250;300;7.49034780e+01
555;13.000;350;400;7.45059294e+01
556;15.600;150;200;7.44572536e+01
557;6.100;350;400;7.42686698e+01
558;13.400;1050;1100;7.40206818e+01
559;13.400;500;550;7.26997452e+01
560;12.100;300;350;7.26681333e+01
561;9.800;400;450;7.26191770e+01
562;9.500;1050;1100;7.22953484e+01
563;15.700;50;100;7.21404000e+01
564;4.200;50;100;7.19651980e+01
565;12.900;350;400;7.16496287e+01
566;13.500;400;450;7.13105553e+01
567;7.900;300;350;7.05384310e+01
568;4.300;50;100;6.99050444e+01
569;12.800;650;700;6.94612332e+01
570;5.000;1950;2000;6.89571686e+01
571;9.700;150;200;6.89240172e+01
572;14.100;150;200;6.87481672e+01
573;0.700;400;450;6.87077391e+01
574;4.500;400;450;6.85766996e+01
575;4.300;1050;1100;6.78645629e+01
576;13.500;100;150;6.78285885e+01
577;9.100;750;800;6.72656401e+01
578;4.100;1200;1250;6.71272363e+01
579;12.700;350;400;6.70923757e+01
580;13.200;600;650;6.70152946e+01
581;8.800;650;700;6.65767147e+01
582;8.300;0;50;6.61511092e+01
583;13.100;1200;1250;6.59836624e+01
584;5.200;1950;2000;6.51831428e+01
585;13.600;150;200;6.46479860e+01
586;14.900;200;250;6.45290644e+01
587;4.000;1350;1400;6.43996345e+01
588;13.100;350;400;6.39024826e+01
589;12.200;450;500;6.38677516e+01
590;1.600;350;400;6.35158216e+01
591;5.100;250;300;6.35063781e+01
592;9.800;100;150;6.34291196e+01
593;4.200;850;900;6.28627471e+01
594;5.700;300;350;6.25395014e+01
595;12.000;0;50;6.17631586e+01
596;0.800;250;300;6.16924733e+01
597;15.200;500;550;6.16677928e+01
598;4.300;400;450;6.12253434e+01
599;1.400;400;450;6.09963209e+01
600;12.800;350;400;6.08080576e+01
601;5.900;400;450;6.06287450e+01
602;14.800;500;550;6.03417160e+01
603;7.900;400;450;5.90622440e+01
604;4.300;850;900;5.84123265e+01
605;13.700;150;200;5.82237685e+01
606;0.500;200;250;5.76523087e+01
607;8.600;700;750;5.74352854e+01
608;12.200;350;400;5.74295700e+01
609;15.000;350;400;5.73650865e+01
610;12.100;450;500;5.71607097e+01
611;9.100;50;100;5.67412485e+01
612;14.800;700;750;5.67009560e+01
613;14.000;450;500;5.66384643e+01
614;13.100;750;800;5.66116947e+01
615;9.400;500;550;5.62238258e+01
616;4.900;350;400;5.54076104e+01
617;5.300;750;800;5.52727037e+01
618;5.200;1150;1200;5.51997463e+01
619;9.900;400;450;5.49543392e+01
620;4.700;1050;1100;5.45722970e+01
621;15.800;50;100;5.41562497e+01
622;4.200;1200;1250;5.36851799e+01
623;4.200;1000;1050;5.36463394e+01
624;12.900;500;550;5.36164802e+01
625;8.900;1050;1100;5.33820193e+01
626;4.100;1350;1400;5.33235846e+01
627;9.800;150;200;5.32715715e+01
628;0.700;300;350;5.30938449e+01
629;6.200;350;400;5.28738494e+01
630;8.100;350;400;5.28028173e+01
631;14.600;250;300;5.27951068e+01
632;12.800;700;750;5.25789475e+01
633;4.600;200;250;5.25315049e+01
634;10.100;300;350;5.25264457e+01
635;8.700;500;550;5.22786790e+01
636;8.400;450;500;5.15577654e+01
637;8.800;200;250;5.13757194e+01
638;15.700;150;200;5.07811568e+01
639;4.000;250;300;5.06479204e+01
640;13.400;1000;1050;5.05483386e+01
641;12.000;450;500;5.03535909e+01
642;13.000;750;800;5.02746071e+01
643;9.300;200;250;4.99599619e+01
644;4.000;1400;1450;4.96811483e+01
645;9.500;1000;1050;4.96733345e+01
646;4.100;450;500;4.95853533e+01
647;4.600;1050;1100;4.94979239e+01
648;8.800;350;400;4.93638134e+01
649;9.000;350;400;4.92227265e+01
650;12.000;350;400;4.91613209e+01
651;9.900;100;150;4.89547172e+01
652;10.200;300;350;4.87955788e+01
653;4.000;400;450;4.78656618e+01
654;13.500;1050;1100;4.75021580e+01
655;12.300;0;50;4.73081911e+01
656;0.800;400;450;4.70460203e+01
657;4.400;1050;1100;4.69645200e+01
658;15.500;300;350;4.69631615e+01
659;1.100;1550;1600;4.68192382e+01
660;5.500;1550;1600;4.68169762e+01
661;5.200;150;200;4.68123134e+01
662;4.000;1750;1800;4.66947441e+01
663;13.700;250;300;4.66017256e+01
664;9.600;1050;1100;4.64772963e+01
665;14.000;600;650;4.64247652e+01
666;4.600;400;450;4.60229934e+01
667;4.000;750;800;4.58929204e+01
668;1.000;300;350;4.57759438e+01
669;13.300;200;250;4.55781655e+01
670;8.000;900;950;4.54812137e+01
671;14.000;1200;1250;4.54795288e+01
672;13.800;150;200;4.54744952e+01
673;9.900;150;200;4.53809726e+01
674;4.400;850;900;4.53687478e+01
675;10.000;250;300;4.48327428e+01
676;4.000;600;650;4.47778504e+01
677;8.800;700;750;4.47606350e+01
678;14.100;1200;1250;4.45185152e+01
679;14.800;1050;1100;4.44632666e+01
680;13.600;100;150;4.43828997e+01
681;6.300;350;400;4.42895788e+01
682;8.100;900;950;4.41584066e+01
683;4.300;1000;1050;4.39539992e+01
684;12.300;350;400;4.35156636e+01
685;5.000;700;750;4.35072906e+01
686;12.300;300;350;4.34154781e+01
687;4.100;1750;1800;4.28642509e+01
688;5.000;650;700;4.27787278e+01
689;12.400;300;350;4.25371321e+01
690;5.800;300;350;4.25003370e+01
691;15.400;250;300;4.24042678e+01
692;8.500;450;500;4.24012309e+01
693;4.100;1400;1450;4.23870555e+01
694;0.500;500;550;4.23555073e+01
695;13.000;550;600;4.23329463e+01
696;4.000;900;950;4.22959373e+01
697;1.500;400;450;4.18799999e+01
698;10.000;100;150;4.15773006e+01
699;1.700;350;400;4.10426535e+01
700;4.200;100;150;4.09608647e+01
701;14.100;0;50;4.09213689e+01
702;6.000;400;450;4.05463277e+01
703;15.500;250;300;4.05034093e+01
704;12.800;200;250;4.02108206e+01
705;13.200;350;400;4.01322476e+01
706;0.900;250;300;4.00209454e+01
707;8.900;1000;1050;3.98527852e+01
708;10.000;400;450;3.97578208e+01
709;13.300;600;650;3.97508709e+01
710;5.000;1200;1250;3.97234777e+01
711;8.400;0;50;3.97233886e+01
712;6.400;350;400;3.97127387e+01
713;9.500;500;550;3.96469707e+01
714;12.500;850;900;3.96126944e+01
715;4.300;1200;1250;3.94243505e+01
716;4.700;50;100;3.93055226e+01
717;15.900;50;100;3.92837579e+01
718;12.200;0;50;3.91492826e+01
719;15.000;200;250;3.90936553e+01
720;14.900;700;750;3.88797881e+01
721;4.200;1350;1400;3.86875599e+01
722;4.800;1050;1100;3.85982629e+01
723;10.300;300;350;3.82020440e+01
724;13.200;1200;1250;3.81373320e+01
725;8.800;400;450;3.80048455e+01
